Paragraph,CF – Contribution flow,CT – Choose a task,TC – Talk to the community,BW – Build local workspace,DC – Deal with the code,SC – Submit the changes,Label,Spreadsheet,Worksheet,Row Index
ALL PRs should be opened against development.,0,0,0,0,0,1,SC – Submit the changes,0xProject@0x-monorepo.xlsx,contributing,18
"Branch names should be prefixed with fix, feature or refactor.",0,0,0,0,0,1,SC – Submit the changes,0xProject@0x-monorepo.xlsx,contributing,19
- e.g fix/missing-import,0,0,0,0,0,1,SC – Submit the changes,0xProject@0x-monorepo.xlsx,contributing,20
"- If the PR only edits a single package, add it's name too",0,0,0,0,0,1,SC – Submit the changes,0xProject@0x-monorepo.xlsx,contributing,21
- e.g fix/subproviders/missing-import,0,0,0,0,0,1,SC – Submit the changes,0xProject@0x-monorepo.xlsx,contributing,22
CHANGELOGs,0,0,0,0,0,1,SC – Submit the changes,0xProject@0x-monorepo.xlsx,contributing,23
"At 0x we use Semantic Versioning for all our published packages. If a change you make corresponds to a semver bump, you must modify the package's CHANGELOG.json file accordingly.",0,0,0,0,0,1,SC – Submit the changes,0xProject@0x-monorepo.xlsx,contributing,24
"Each CHANGELOG entry that corresponds to a published package will have a timestamp. If no entry exists without a timestamp, you must first create a new one:",0,0,0,0,0,1,SC – Submit the changes,0xProject@0x-monorepo.xlsx,contributing,25
"{
""version"": ""1.0.1"", <- The updated package version
""changes"": [
{
""note"": """", <- Describe your change
""PR"": 100 <- Your PR number
}
]
},",0,0,0,0,0,1,SC – Submit the changes,0xProject@0x-monorepo.xlsx,contributing,26
"If an entry without a timestamp already exists, this means other changes have been introduced by other collaborators since the last publish. Add your changes to the list of notes and adjust the version if your PR introduces a greater semver change (i.e current changes required a patch bump, but your changes require a major version bump).",0,0,0,0,0,1,SC – Submit the changes,0xProject@0x-monorepo.xlsx,contributing,27
Development Tooling,0,0,0,0,1,0,DC – Deal with the code,0xProject@0x-monorepo.xlsx,contributing,28
We strongly recommend you use the VSCode text editor since most of our code is written in TypeScript and it offers amazing support for the language.,0,0,0,0,1,0,DC – Deal with the code,0xProject@0x-monorepo.xlsx,contributing,29
Linter,0,0,0,0,1,0,DC – Deal with the code,0xProject@0x-monorepo.xlsx,contributing,30
We use TSLint with custom configs to keep our code-style consistent.,0,0,0,0,1,0,DC – Deal with the code,0xProject@0x-monorepo.xlsx,contributing,31
"Use yarn:lint to lint the entire monorepo, and PKG={PACKAGE_NAME} yarn lint to lint a specific package.",0,0,0,0,1,0,DC – Deal with the code,0xProject@0x-monorepo.xlsx,contributing,32
"If you want to change a rule, or add a custom rule, please make these changes to our tslint-config package. All other packages have it as a dependency.",0,0,0,0,1,0,DC – Deal with the code,0xProject@0x-monorepo.xlsx,contributing,33
Integrate it into your text editor:,0,0,0,0,1,0,DC – Deal with the code,0xProject@0x-monorepo.xlsx,contributing,34
- VSCode: vscode-tslint,0,0,0,0,1,0,DC – Deal with the code,0xProject@0x-monorepo.xlsx,contributing,35
- Atom: linter-tslint,0,0,0,0,1,0,DC – Deal with the code,0xProject@0x-monorepo.xlsx,contributing,36
Auto-formatter,0,0,0,0,1,0,DC – Deal with the code,0xProject@0x-monorepo.xlsx,contributing,37
We use Prettier to auto-format our code. Be sure to either add a text editor integration or a pre-commit hook to properly format your code changes.,0,0,0,0,1,0,DC – Deal with the code,0xProject@0x-monorepo.xlsx,contributing,38
"If using the Atom text editor, we recommend you install the following packages:",0,0,0,0,1,0,DC – Deal with the code,0xProject@0x-monorepo.xlsx,contributing,39
- VSCode: prettier-vscode,0,0,0,0,1,0,DC – Deal with the code,0xProject@0x-monorepo.xlsx,contributing,40
- Atom: prettier-atom,0,0,0,0,1,0,DC – Deal with the code,0xProject@0x-monorepo.xlsx,contributing,41
Unenforced coding conventions,0,0,0,0,1,0,DC – Deal with the code,0xProject@0x-monorepo.xlsx,contributing,42
A few of our coding conventions are not yet enforced by the linter/auto-formatter. Be careful to follow these conventions in your PR's.,0,0,0,0,1,0,DC – Deal with the code,0xProject@0x-monorepo.xlsx,contributing,43
"1.  Unused anonymous function parameters should be named with an underscore + number (e.g _1, _2, etc...)",0,0,0,0,1,0,DC – Deal with the code,0xProject@0x-monorepo.xlsx,contributing,44
2.  There should be a new-line between methods in a class and between test cases.,0,0,0,0,1,0,DC – Deal with the code,0xProject@0x-monorepo.xlsx,contributing,45
"3.  If a string literal has the same value in two or more places, it should be a single constant referenced in both places.",0,0,0,0,1,0,DC – Deal with the code,0xProject@0x-monorepo.xlsx,contributing,46
4.  Do not import from a project's index.ts (e.g import { Token } from '../src';). Always import from the source file itself.,0,0,0,0,1,0,DC – Deal with the code,0xProject@0x-monorepo.xlsx,contributing,47
5.  Generic error variables should be named err instead of e or error.,0,0,0,0,1,0,DC – Deal with the code,0xProject@0x-monorepo.xlsx,contributing,48
"6.  If you must cast a variable to any - try to type it back as fast as possible. (e.g., const cw = ((zeroEx as any)._contractWrappers as ContractWrappers);). This ensures subsequent code is type-safe.",0,0,0,0,1,0,DC – Deal with the code,0xProject@0x-monorepo.xlsx,contributing,49
"7.  Our enum conventions coincide with the recommended TypeScript conventions, using capitalized keys, and all-caps snake-case values. Eg GetStats = 'GET_STATS'",0,0,0,0,1,0,DC – Deal with the code,0xProject@0x-monorepo.xlsx,contributing,50
"8.  All public, exported methods/functions/classes must have associated Javadoc-style comments.",0,0,0,0,1,0,DC – Deal with the code,0xProject@0x-monorepo.xlsx,contributing,51
Fix submit-coverage CI failure,0,0,0,0,0,1,SC – Submit the changes,0xProject@0x-monorepo.xlsx,contributing,52
"If you simply fork the repo and then create a PR from it, your PR will fail the submit-coverage check on CI. This is because the 0x CircleCI configuration sets the COVERALLS_REPO_TOKEN environment variable to the token for 0xProject/0x-monorepo, but when running the check against your fork the token needs to match your repo's name your-username/0x-monorepo.",0,0,0,0,0,1,SC – Submit the changes,0xProject@0x-monorepo.xlsx,contributing,53
"To facilitate this check, after creating your fork, but before creating the branch for your PR, do the following:",0,0,0,0,0,1,SC – Submit the changes,0xProject@0x-monorepo.xlsx,contributing,54
"1.  Log in to coveralls.io, go to Add Repos, and enable your fork. Then go to the settings for that repo, and copy the Repo Token identifier.",0,0,0,0,0,1,SC – Submit the changes,0xProject@0x-monorepo.xlsx,contributing,55
"2.  Log in to CircleCI, go to Add Projects, click the Set Up Project button corresponding to your fork, and then click Start Building. (Aside from step 3 below, no actual set up is needed, since it will use the .circleci/config.yml file in 0x-monorepo, so you can ignore all of the instruction/explanation given on the page with the Start Building button.)",0,0,0,0,0,1,SC – Submit the changes,0xProject@0x-monorepo.xlsx,contributing,56
"3.  In CircleCI, configure your project to add an environment variable, with name COVERALLS_REPO_TOKEN, and for the value paste in the Repo Token you copied in step 1.",0,0,0,0,0,1,SC – Submit the changes,0xProject@0x-monorepo.xlsx,contributing,57
"Now, when you push to your branch, CircleCI will automatically run all of the checks in your own instance, and the coverage check will work since it has the proper Repo Token, and the PR will magically refer to your own checks rather than running them in the 0x CircleCI instance.",0,0,0,0,0,1,SC – Submit the changes,0xProject@0x-monorepo.xlsx,contributing,58
Contributing,0,0,0,0,0,0,No categories identified.,24ark@react-native-step-indicator.xlsx,contributing,0
We want this community to be friendly and respectful to each other. Please follow it in all your interactions with the project.,0,0,0,0,0,0,No categories identified.,24ark@react-native-step-indicator.xlsx,contributing,1
Development workflow,1,0,0,0,0,0,CF – Contribution flow,24ark@react-native-step-indicator.xlsx,contributing,2
"To get started with the project, run yarn bootstrap in the root directory to install the required dependencies for each package:",1,0,0,0,0,0,CF – Contribution flow,24ark@react-native-step-indicator.xlsx,contributing,3
yarn bootstrap,1,0,0,0,0,0,CF – Contribution flow,24ark@react-native-step-indicator.xlsx,contributing,4
"While developing, you can run the example app to test your changes.",1,0,0,0,0,0,CF – Contribution flow,24ark@react-native-step-indicator.xlsx,contributing,5
To start the packager:,1,0,0,0,0,0,CF – Contribution flow,24ark@react-native-step-indicator.xlsx,contributing,6
yarn example start,1,0,0,0,0,0,CF – Contribution flow,24ark@react-native-step-indicator.xlsx,contributing,7
To run the example app on Android:,1,0,0,0,0,0,CF – Contribution flow,24ark@react-native-step-indicator.xlsx,contributing,8
yarn example android,1,0,0,0,0,0,CF – Contribution flow,24ark@react-native-step-indicator.xlsx,contributing,9
To run the example app on iOS:,1,0,0,0,0,0,CF – Contribution flow,24ark@react-native-step-indicator.xlsx,contributing,10
yarn example ios,1,0,0,0,0,0,CF – Contribution flow,24ark@react-native-step-indicator.xlsx,contributing,11
To run the example app on Web:,1,0,0,0,0,0,CF – Contribution flow,24ark@react-native-step-indicator.xlsx,contributing,12
yarn example web,1,0,0,0,0,0,CF – Contribution flow,24ark@react-native-step-indicator.xlsx,contributing,13
Make sure your code passes TypeScript and ESLint. Run the following to verify:,1,0,0,0,0,0,CF – Contribution flow,24ark@react-native-step-indicator.xlsx,contributing,14
"yarn typescript
yarn lint",1,0,0,0,0,0,CF – Contribution flow,24ark@react-native-step-indicator.xlsx,contributing,15
"To fix formatting errors, run the following:",1,0,0,0,0,0,CF – Contribution flow,24ark@react-native-step-indicator.xlsx,contributing,16
yarn lint --fix,1,0,0,0,0,0,CF – Contribution flow,24ark@react-native-step-indicator.xlsx,contributing,17
Remember to add tests for your change if possible. Run the unit tests by:,1,0,0,0,0,0,CF – Contribution flow,24ark@react-native-step-indicator.xlsx,contributing,18
yarn test,1,0,0,0,0,0,CF – Contribution flow,24ark@react-native-step-indicator.xlsx,contributing,19
Commit message convention,0,0,0,0,0,1,SC – Submit the changes,24ark@react-native-step-indicator.xlsx,contributing,20
We follow the conventional commits specification for our commit messages:,0,0,0,0,0,1,SC – Submit the changes,24ark@react-native-step-indicator.xlsx,contributing,21
"- fix: bug fixes, e.g. fix crash due to deprecated method.",0,0,0,0,0,1,SC – Submit the changes,24ark@react-native-step-indicator.xlsx,contributing,22
"- feat: new features, e.g. add new method to the module.",0,0,0,0,0,1,SC – Submit the changes,24ark@react-native-step-indicator.xlsx,contributing,23
"- refactor: code refactor, e.g. migrate from class components to hooks.",0,0,0,0,0,1,SC – Submit the changes,24ark@react-native-step-indicator.xlsx,contributing,24
"- docs: changes into documentation, e.g. add usage example for the module..",0,0,0,0,0,1,SC – Submit the changes,24ark@react-native-step-indicator.xlsx,contributing,25
"- test: adding or updating tests, eg add integration tests using detox.",0,0,0,0,0,1,SC – Submit the changes,24ark@react-native-step-indicator.xlsx,contributing,26
"- chore: tooling changes, e.g. change CI config.",0,0,0,0,0,1,SC – Submit the changes,24ark@react-native-step-indicator.xlsx,contributing,27
Our pre-commit hooks verify that your commit message matches this format when committing.,0,0,0,0,0,1,SC – Submit the changes,24ark@react-native-step-indicator.xlsx,contributing,28
Linting and tests,0,0,0,0,1,0,DC – Deal with the code,24ark@react-native-step-indicator.xlsx,contributing,29
"ESLint, Prettier, TypeScript",0,0,0,0,1,0,DC – Deal with the code,24ark@react-native-step-indicator.xlsx,contributing,30
"We use TypeScript for type checking, ESLint with Prettier for linting and formatting the code, and Jest for testing.",0,0,0,0,1,0,DC – Deal with the code,24ark@react-native-step-indicator.xlsx,contributing,31
Our pre-commit hooks verify that the linter and tests pass when committing.,0,0,0,0,1,0,DC – Deal with the code,24ark@react-native-step-indicator.xlsx,contributing,32
Scripts,0,0,0,0,1,0,DC – Deal with the code,24ark@react-native-step-indicator.xlsx,contributing,33
The package.json file contains various scripts for common tasks:,0,0,0,0,1,0,DC – Deal with the code,24ark@react-native-step-indicator.xlsx,contributing,34
- yarn bootstrap: setup project by installing all dependencies and pods.,0,0,0,0,1,0,DC – Deal with the code,24ark@react-native-step-indicator.xlsx,contributing,35
- yarn typescript: type-check files with TypeScript.,0,0,0,0,1,0,DC – Deal with the code,24ark@react-native-step-indicator.xlsx,contributing,36
- yarn lint: lint files with ESLint.,0,0,0,0,1,0,DC – Deal with the code,24ark@react-native-step-indicator.xlsx,contributing,37
- yarn test: run unit tests with Jest.,0,0,0,0,1,0,DC – Deal with the code,24ark@react-native-step-indicator.xlsx,contributing,38
- yarn example start: start the Metro server for the example app.,0,0,0,0,1,0,DC – Deal with the code,24ark@react-native-step-indicator.xlsx,contributing,39
- yarn example android: run the example app on Android.,0,0,0,0,1,0,DC – Deal with the code,24ark@react-native-step-indicator.xlsx,contributing,40
- yarn example ios: run the example app on iOS.,0,0,0,0,1,0,DC – Deal with the code,24ark@react-native-step-indicator.xlsx,contributing,41
Sending a pull request,0,0,0,0,0,1,SC – Submit the changes,24ark@react-native-step-indicator.xlsx,contributing,42
Working on your first pull request? You can learn how from this free series: How to Contribute to an Open Source Project on GitHub.,0,0,0,0,0,1,SC – Submit the changes,24ark@react-native-step-indicator.xlsx,contributing,43
When you're sending a pull request:,0,0,0,0,0,1,SC – Submit the changes,24ark@react-native-step-indicator.xlsx,contributing,44
- Prefer small pull requests focused on one change.,0,0,0,0,0,1,SC – Submit the changes,24ark@react-native-step-indicator.xlsx,contributing,45
- Verify that linters and tests are passing.,0,0,0,0,0,1,SC – Submit the changes,24ark@react-native-step-indicator.xlsx,contributing,46
- Review the documentation to make sure it looks good.,0,0,0,0,0,1,SC – Submit the changes,24ark@react-native-step-indicator.xlsx,contributing,47
- Follow the pull request template when opening a pull request.,0,0,0,0,0,1,SC – Submit the changes,24ark@react-native-step-indicator.xlsx,contributing,48
"- For pull requests that change the API or implementation, discuss with maintainers first by opening an issue.",0,0,0,0,0,1,SC – Submit the changes,24ark@react-native-step-indicator.xlsx,contributing,49
Code of Conduct,0,0,1,0,0,0,TC – Talk to the community,24ark@react-native-step-indicator.xlsx,contributing,50
Our Pledge,0,0,1,0,0,0,TC – Talk to the community,24ark@react-native-step-indicator.xlsx,contributing,51
"We as members, contributors, and leaders pledge to make participation in our community a harassment-free experience for everyone, regardless of age, body size, visible or invisible disability, ethnicity, sex characteristics, gender identity and expression, level of experience, education, socio-economic status, nationality, personal appearance, race, religion, or sexual identity and orientation.",0,0,1,0,0,0,TC – Talk to the community,24ark@react-native-step-indicator.xlsx,contributing,52
"We pledge to act and interact in ways that contribute to an open, welcoming, diverse, inclusive, and healthy community.",0,0,1,0,0,0,TC – Talk to the community,24ark@react-native-step-indicator.xlsx,contributing,53
Our Standards,0,0,1,0,0,0,TC – Talk to the community,24ark@react-native-step-indicator.xlsx,contributing,54
Examples of behavior that contributes to a positive environment for our community include:,0,0,1,0,0,0,TC – Talk to the community,24ark@react-native-step-indicator.xlsx,contributing,55
- Demonstrating empathy and kindness toward other people,0,0,1,0,0,0,TC – Talk to the community,24ark@react-native-step-indicator.xlsx,contributing,56
"- Being respectful of differing opinions, viewpoints, and experiences",0,0,1,0,0,0,TC – Talk to the community,24ark@react-native-step-indicator.xlsx,contributing,57
- Giving and gracefully accepting constructive feedback,0,0,1,0,0,0,TC – Talk to the community,24ark@react-native-step-indicator.xlsx,contributing,58
"- Accepting responsibility and apologizing to those affected by our mistakes, and learning from the experience",0,0,1,0,0,0,TC – Talk to the community,24ark@react-native-step-indicator.xlsx,contributing,59
"- Focusing on what is best not just for us as individuals, but for the overall community",0,0,1,0,0,0,TC – Talk to the community,24ark@react-native-step-indicator.xlsx,contributing,60
Examples of unacceptable behavior include:,0,0,1,0,0,0,TC – Talk to the community,24ark@react-native-step-indicator.xlsx,contributing,61
"- The use of sexualized language or imagery, and sexual attention or
advances of any kind",0,0,1,0,0,0,TC – Talk to the community,24ark@react-native-step-indicator.xlsx,contributing,62
"- Trolling, insulting or derogatory comments, and personal or political attacks",0,0,1,0,0,0,TC – Talk to the community,24ark@react-native-step-indicator.xlsx,contributing,63
- Public or private harassment,0,0,1,0,0,0,TC – Talk to the community,24ark@react-native-step-indicator.xlsx,contributing,64
"- Publishing others' private information, such as a physical or email
address, without their explicit permission",0,0,1,0,0,0,TC – Talk to the community,24ark@react-native-step-indicator.xlsx,contributing,65
"- Other conduct which could reasonably be considered inappropriate in a
professional setting",0,0,1,0,0,0,TC – Talk to the community,24ark@react-native-step-indicator.xlsx,contributing,66
Enforcement Responsibilities,0,0,1,0,0,0,TC – Talk to the community,24ark@react-native-step-indicator.xlsx,contributing,67
"Community leaders are responsible for clarifying and enforcing our standards of acceptable behavior and will take appropriate and fair corrective action in response to any behavior that they deem inappropriate, threatening, offensive, or harmful.",0,0,1,0,0,0,TC – Talk to the community,24ark@react-native-step-indicator.xlsx,contributing,68
"Community leaders have the right and responsibility to remove, edit, or reject comments, commits, code, wiki edits, issues, and other contributions that are not aligned to this Code of Conduct, and will communicate reasons for moderation decisions when appropriate.",0,0,1,0,0,0,TC – Talk to the community,24ark@react-native-step-indicator.xlsx,contributing,69
Scope,0,0,1,0,0,0,TC – Talk to the community,24ark@react-native-step-indicator.xlsx,contributing,70
"This Code of Conduct applies within all community spaces, and also applies when an individual is officially representing the community in public spaces. Examples of representing our community include using an official e-mail address, posting via an official social media account, or acting as an appointed representative at an online or offline event.",0,0,1,0,0,0,TC – Talk to the community,24ark@react-native-step-indicator.xlsx,contributing,71
Enforcement,0,0,1,0,0,0,TC – Talk to the community,24ark@react-native-step-indicator.xlsx,contributing,72
"Instances of abusive, harassing, or otherwise unacceptable behavior may be reported to the community leaders responsible for enforcement at [INSERT CONTACT METHOD]. All complaints will be reviewed and investigated promptly and fairly.",0,0,1,0,0,0,TC – Talk to the community,24ark@react-native-step-indicator.xlsx,contributing,73
All community leaders are obligated to respect the privacy and security of the reporter of any incident.,0,0,1,0,0,0,TC – Talk to the community,24ark@react-native-step-indicator.xlsx,contributing,74
Enforcement Guidelines,0,0,1,0,0,0,TC – Talk to the community,24ark@react-native-step-indicator.xlsx,contributing,75
Community leaders will follow these Community Impact Guidelines in determining the consequences for any action they deem in violation of this Code of Conduct:,0,0,1,0,0,0,TC – Talk to the community,24ark@react-native-step-indicator.xlsx,contributing,76
1. Correction,0,0,1,0,0,0,TC – Talk to the community,24ark@react-native-step-indicator.xlsx,contributing,77
Community Impact: Use of inappropriate language or other behavior deemed unprofessional or unwelcome in the community.,0,0,1,0,0,0,TC – Talk to the community,24ark@react-native-step-indicator.xlsx,contributing,78
"Consequence: A private, written warning from community leaders, providing clarity around the nature of the violation and an explanation of why the behavior was inappropriate. A public apology may be requested.",0,0,1,0,0,0,TC – Talk to the community,24ark@react-native-step-indicator.xlsx,contributing,79
2. Warning,0,0,1,0,0,0,TC – Talk to the community,24ark@react-native-step-indicator.xlsx,contributing,80
Community Impact: A violation through a single incident or series of actions.,0,0,1,0,0,0,TC – Talk to the community,24ark@react-native-step-indicator.xlsx,contributing,81
"Consequence: A warning with consequences for continued behavior. No interaction with the people involved, including unsolicited interaction with those enforcing the Code of Conduct, for a specified period of time. This includes avoiding interactions in community spaces as well as external channels like social media. Violating these terms may lead to a temporary or permanent ban.",0,0,1,0,0,0,TC – Talk to the community,24ark@react-native-step-indicator.xlsx,contributing,82
3. Temporary Ban,0,0,1,0,0,0,TC – Talk to the community,24ark@react-native-step-indicator.xlsx,contributing,83
"Community Impact: A serious violation of community standards, including sustained inappropriate behavior.",0,0,1,0,0,0,TC – Talk to the community,24ark@react-native-step-indicator.xlsx,contributing,84
"Consequence: A temporary ban from any sort of interaction or public communication with the community for a specified period of time. No public or private interaction with the people involved, including unsolicited interaction with those enforcing the Code of Conduct, is allowed during this period. Violating these terms may lead to a permanent ban.",0,0,1,0,0,0,TC – Talk to the community,24ark@react-native-step-indicator.xlsx,contributing,85
4. Permanent Ban,0,0,1,0,0,0,TC – Talk to the community,24ark@react-native-step-indicator.xlsx,contributing,86
"Community Impact: Demonstrating a pattern of violation of community standards, including sustained inappropriate behavior, harassment of an individual, or aggression toward or disparagement of classes of individuals.",0,0,1,0,0,0,TC – Talk to the community,24ark@react-native-step-indicator.xlsx,contributing,87
Consequence: A permanent ban from any sort of public interaction within the community.,0,0,1,0,0,0,TC – Talk to the community,24ark@react-native-step-indicator.xlsx,contributing,88
Attribution,0,0,0,0,0,0,No categories identified.,24ark@react-native-step-indicator.xlsx,contributing,89
"This Code of Conduct is adapted from the Contributor Covenant, version 2.0,
available at https://www.contributor-covenant.org/version/2/0/code_of_conduct.html.",0,0,0,0,0,0,No categories identified.,24ark@react-native-step-indicator.xlsx,contributing,90
Community Impact Guidelines were inspired by Mozilla's code of conduct enforcement ladder.,0,0,0,0,0,0,No categories identified.,24ark@react-native-step-indicator.xlsx,contributing,91
"For answers to common questions about this code of conduct, see the FAQ at
https://www.contributor-covenant.org/faq. Translations are available at https://www.contributor-covenant.org/translations.",0,0,0,0,0,0,No categories identified.,24ark@react-native-step-indicator.xlsx,contributing,92
Contributing to 24 Pull Requests,0,0,0,0,0,0,No categories identified.,24pullrequests@24pullrequests.xlsx,contributing,0
Want to contribute to 24 Pull Requests? That's great! Here are a couple of guidelines that will help you contribute. Before we get started: Please note that this project is released with a Contributor Code of Conduct to ensure that this project is a welcoming place for everyone to contribute to. By participating in this project you agree to abide by its terms.,0,0,0,0,0,0,No categories identified.,24pullrequests@24pullrequests.xlsx,contributing,1
Overview,0,0,0,0,0,0,No categories identified.,24pullrequests@24pullrequests.xlsx,contributing,2
- Contribution workflow,0,0,0,0,0,0,No categories identified.,24pullrequests@24pullrequests.xlsx,contributing,3
- Setup instructions,0,0,0,0,0,0,No categories identified.,24pullrequests@24pullrequests.xlsx,contributing,4
- Setup using Vagrant,0,0,0,0,0,0,No categories identified.,24pullrequests@24pullrequests.xlsx,contributing,5
- Reporting a bug,0,0,0,0,0,0,No categories identified.,24pullrequests@24pullrequests.xlsx,contributing,6
- Contributing to an existing issue,0,0,0,0,0,0,No categories identified.,24pullrequests@24pullrequests.xlsx,contributing,7
- Our labels,0,0,0,0,0,0,No categories identified.,24pullrequests@24pullrequests.xlsx,contributing,8
- Additional info,0,0,0,0,0,0,No categories identified.,24pullrequests@24pullrequests.xlsx,contributing,9
Contribution workflow,1,0,0,0,0,0,CF – Contribution flow,24pullrequests@24pullrequests.xlsx,contributing,10
- Fork the project.,1,0,0,0,0,0,CF – Contribution flow,24pullrequests@24pullrequests.xlsx,contributing,11
- Make your feature addition or bug fix.,1,0,0,0,0,0,CF – Contribution flow,24pullrequests@24pullrequests.xlsx,contributing,12
- Add tests for it. This is important so we don't break it in a future version unintentionally.,1,0,0,0,0,0,CF – Contribution flow,24pullrequests@24pullrequests.xlsx,contributing,13
- Send a pull request. Bonus points for topic branches.,1,0,0,0,0,0,CF – Contribution flow,24pullrequests@24pullrequests.xlsx,contributing,14
Setup instructions,0,0,0,1,0,0,BW – Build local workspace,24pullrequests@24pullrequests.xlsx,contributing,15
"You can find in-depth instructions to install the correct Ruby version, Postgres, and to set up the database in our README.",0,0,0,1,0,0,BW – Build local workspace,24pullrequests@24pullrequests.xlsx,contributing,16
Reporting a bug,0,0,0,0,0,0,No categories identified.,24pullrequests@24pullrequests.xlsx,contributing,17
"So you've found a bug, and want to help us fix it? Before filing a bug report, please double-check the bug hasn't already been reported. You can do so on our issue tracker. If something hasn't been raised, you can go ahead and create a new issue with the following information:",0,0,0,0,0,0,No categories identified.,24pullrequests@24pullrequests.xlsx,contributing,18
- On which page did the error happen?,0,0,0,0,0,0,No categories identified.,24pullrequests@24pullrequests.xlsx,contributing,19
- How can the error be reproduced?,0,0,0,0,0,0,No categories identified.,24pullrequests@24pullrequests.xlsx,contributing,20
