Paragraph,Label
"2.  We maintain a high percentage of code coverage in our unit tests. If you make changes to the code, please add,
update, and/or remove unit (and integration) tests as appropriate.",SC – Submit the changes
"To install CVXPY from source, clone the Github repository, navigate to the
repository root, and run the following command:",BW – Build local workspace
- Test that your contributions pass with rake lint,DC – Deal with the code
- Describe the exact steps which reproduce the problem in as many details as possible.,No categories identified.
- Node.js >= 10.13.0,BW – Build local workspace
"- Use the present tense (""Add feature"" not ""Added feature"").",SC – Submit the changes
Flow,DC – Deal with the code
- squashing a bug,CT – Choose a task
- If we suggest changes then:,SC – Submit the changes
"If you want to contribute to documentation, read the Contributing to ClickHouse Documentation guide.",No categories identified.
- Consolidate Nginx and Apache into one repository for easier change management,No categories identified.
"This project has been around for a while.  While some parts have improved significantly over time, others fell
into disrepair and were mothballed. All branches named attic-* are significantly out of date and kept for reference purposes only.",DC – Deal with the code
There are two main ways to communicate about Sucrase development:,TC – Talk to the community
"Please follow the rules of writing good Git commit
messages:",SC – Submit the changes
- The preview branch is a snapshot of the last AzureRM release and should not be used for active development,SC – Submit the changes
If you email me directly I'll probably ask you to post your question publicly so we can document answers for future Googling Squibbers.,No categories identified.
"6.  Wrap the body at 72 characters (""fmt -w 72"")",SC – Submit the changes
2.  Fill in details explaining your request.  Be as clear and concise as possible and only 1 request at a time.,No categories identified.
External Dependencies,No categories identified.
"- Reproduce the Error - provide a live example (using Plunker or
JSFiddle) or an unambiguous set of steps.",No categories identified.
Specs Styleguide,DC – Deal with the code
"gem 'celluloid', github: 'celluloid', submodules: true",No categories identified.
- npm run package: Compiles TypeScript source and creates the Rollup bundles.,DC – Deal with the code
"We want the FoundationDB community to be as welcoming and inclusive as possible, and have adopted a Code of Conduct that we ask all community members to read and observe.",TC – Talk to the community
"- If you wish to keep progressing on your work, please maintain a feature branch independent of the branch referenced by your pull request. From your WIP branch you can selectively merge in changes to the PR branch as required.",SC – Submit the changes
Code,CF – Contribution flow
Thank you for your interest in contributing to Doctrine Extensions!,No categories identified.
"Critical is an open source project. It is licensed using the
Apache Software License 2.0.
We really appreciate pull requests and bug reports, here are our guidelines:",CF – Contribution flow
The Windows backend of libui is written in C++ using C++11.,DC – Deal with the code
"Submitting an Issue Before you submit an issue, search the archive, maybe your question was already answered.",No categories identified.
Release,DC – Deal with the code
Reporting Bugs,No categories identified.
GitHub Issues,No categories identified.
The output should look like this:,No categories identified.
"If you have any comment or advice, please report your issue,
or make any change as you wish and submit an PR.",No categories identified.
1.  Alter the model you want to change. This example will add a Column Annotations model.,No categories identified.
"After few seconds, open http://localhost:8080 to enjoy pev2.",BW – Build local workspace
Our Standards,TC – Talk to the community
"GitHub issues and the community forums both offer features to facilitate discussion. To clarify how and when to use each tool, here's a quick summary of how we think about them:",TC – Talk to the community
"6.  Please don't change the code style, unless it's specifically asked for.",SC – Submit the changes
"We encourage new comers actively join in Nacos projects and involving from user role to committer role, and even PMC role. In order to accomplish this, new comers needs to actively contribute in Nacos project. The following paragraph introduce how to contribute in Nacos way.",No categories identified.
- Class names and Properties are PascalCase - this is nearly the only time you start with uppercase.,DC – Deal with the code
"This file can be found in /etc/postgresql/9.4/main/ on most linux systems. The 9.4 part could be different depending
on the version that is available in your distro. On OSX the location of this file will depend on the installation method
chosen, but for the recommended PostgresApp install it will be in /Users/[yourusername]/Library/Application Support/Postgres/var-9.3/. Again, the var-9.3 part may be different depending on the version you installed.",BW – Build local workspace
Submit a suggestion here,No categories identified.
See https://github.com/caprover/caprover-frontend,No categories identified.
Please use GitHub issues for bugs and feature requests.,No categories identified.
Contributions,No categories identified.
Making Changes:,SC – Submit the changes
"5.  To keep the process simple with just a few contributors, development happens directly on the master branch
and releases will be deployed on the same branch.",SC – Submit the changes
- Proposing new or changed API?,No categories identified.
- Clearly explain the following:,No categories identified.
Now active work is supposed to be done. Therefore a new branch should be created. Let's create one:,SC – Submit the changes
"- Create Issue, if an issue of the same kind does not yet exist.",CF – Contribution flow
Pull Request Process,SC – Submit the changes
"- the public wiki,",No categories identified.
"If you need to modify a test locally and the VCR cassette doesn't have the correct information, you can run with new episodes enabled.",SC – Submit the changes
cap production doctor,No categories identified.
git push my-fork --delete my-fix-branch,SC – Submit the changes
Formatting,DC – Deal with the code
Contributions to this project are released to the public under the project's open source license.,No categories identified.
Questions & Help,No categories identified.
"Follow either of the two links above to access the appropriate CLA and
instructions for how to sign and return it. Once we receive it, we'll be able to
accept your pull requests.",SC – Submit the changes
- All new features should be accompanied first with a Github issues describing the feature and its necessity.,CF – Contribution flow
"- Discuss, the official Atom and Electron message board",No categories identified.
1.  Fork the repository on GitHub.,CF – Contribution flow
How to submit a feature request,SC – Submit the changes
- Extend the application library is highly welcome.,DC – Deal with the code
- Public member variables typically ordered together before private ones in class definitions,DC – Deal with the code
or similar as the later will cause typing issues. The former is of type List[Callable] whereas the later is of type Optional[List[Callable]].,DC – Deal with the code
Code of Conduct,TC – Talk to the community
Submitting code,SC – Submit the changes
Contribute code,CF – Contribution flow
- Performance optimisations for React applications,DC – Deal with the code
"and pull requests are very welcome. Before submitting a pull request, please make sure that your changes are well tested.",SC – Submit the changes
3. Read the FAQ and search the issues list of Ant Design Mobile,No categories identified.
"Like all enumeration types this definition enumerates out typed, named values
that are reusable for state elsewhere on other types.",No categories identified.
- Read the Coding Guidelines section and make sure that rake lint doesn't find any offences.,DC – Deal with the code
If you want to see log messages from all Cypress projects use wild card,BW – Build local workspace
"- Run grunt test to run all tests using Karma and Jasmine on headless Firefox,
or see Testing for other methods",SC – Submit the changes
"- Snippet code and examples must be enclosed in appropriate, language-tagged blocks as shown in the snippet template, be short and use modern techniques and features. Also make sure to test your code before submitting.",DC – Deal with the code
"The preferred way to report bugs is to use the
GitHub issue tracker. Before
reporting a bug, read these pointers.",No categories identified.
Contribution Guide,No categories identified.
Step 3: Fork and checkout your own Cherow repository,BW – Build local workspace
Code of Conduct,TC – Talk to the community
2.  Join the discussion!,TC – Talk to the community
"- npm test Runs all tests (webpack, commonjs, etc) checks the coding style, lints the code, calculates complexity, runs all tests, and enforces code coverage. You should make sure you do this before submitting a PR.",SC – Submit the changes
- Please squash work-in-progress commits. Each commit should stand on its own (including the addition of tests if possible). This allows us to bisect issues more effectively.,SC – Submit the changes
"- If you would like to add a new document, you need to add it to the navigation document as well. Navigation document is located in doc/WebSite/Navigation.md.",No categories identified.
Designing a new qCC plugin,No categories identified.
Release Strategy,No categories identified.
Table Of Contents,No categories identified.
Testing your Changes,SC – Submit the changes
- Familiarize yourself with the documentation in the Wiki,CF – Contribution flow
Thanks for your interest in contributing to the AWS CDK! ??,No categories identified.
- Try to keep your changes small. Consider making several smaller pull requests if your changes are extensive.,SC – Submit the changes
- If adding new feature:,SC – Submit the changes
Code Style,DC – Deal with the code
"Project maintainers have the right and responsibility to remove, edit, or
reject comments, commits, code, wiki edits, issues, and other contributions
that are not aligned to this Code of Conduct, or to ban temporarily or
permanently any contributor for other behaviors that they deem inappropriate,
threatening, offensive, or harmful.",TC – Talk to the community
"- If you have a question about using Kitten Tricks, please ask on the StackOverflow.",No categories identified.
"- Screenshots/GIFs: Changes to user interface require before/after screenshots, or GIF for interactions",SC – Submit the changes
After your pull request is merged,SC – Submit the changes
Run tests in the default appdomain,SC – Submit the changes
"Don't forget: being a maintainer is a time investment. Make sure you
will have time to make yourself available.  You don't have to be a
maintainer to make a difference on the project!",No categories identified.
Running locally (Visual Studio) (v2+),BW – Build local workspace
"- git push origin your-branch (origin would be your GitHub repo or your-github-username/cake in this case).
You may need to git push origin your-branch --force to get the commits pushed.
This is generally acceptable with topic branches not in the mainstream repository.",SC – Submit the changes
- Delete the local branch:,SC – Submit the changes
- Improve our test coverage,CT – Choose a task
- there are thousands of people willing to help on StackOverflow,No categories identified.
- msys-bash,BW – Build local workspace
"If you're the owner of a library that strongly depends on Carbon, we recommend you to run unit tests daily requiring
""nesbot/carbon"": ""dev-master"" (for ^2) or ""nesbot/carbon"": ""dev-version-1.next"" (for ^1), this way you can
detect incompatibilities earlier and report it to us before we tag a release. We'll pay attention and try to fix it to
make update to next minor releases as soft as possible.",No categories identified.
"yarn test
yarn lint",SC – Submit the changes
"The list below are guidelines to use when submitting pull requests. These are the same set of guidelines that the core contributors use when submitting changes, and we ask the same of all community contributions as well:",No categories identified.
"If you have any questions or advice, please contact sentinel@linux.alibaba.com.",TC – Talk to the community
Etiquette,No categories identified.
pip install -r test-requirements.txt,SC – Submit the changes
StackOverflow is a much better place to ask questions since:,TC – Talk to the community
- Your first code contribution,No categories identified.
2.  Ensure that your changes comply with the project's coding guidelines and that it's sufficiently documented.,CF – Contribution flow
- Check the pull requests tab to ensure that the feature isn't already in progress.,CF – Contribution flow
Guidelines,No categories identified.
"Much of the management plane SDK code is generated from metadata specs about the REST APIs. Do not submit PRs that modify generated code. Instead,",No categories identified.
"You can install Docker and docker-compose easily
on any Operating System. After picking the correct operating system installer (via package manager or download) just
run the following command on the root of your cloned Bookshelf repository:",BW – Build local workspace
- What the code does?,DC – Deal with the code
Compatibility,DC – Deal with the code
"Please refrain from creating several pull requests for the same change.
Use the pull request that is already open (or was created earlier) to amend
changes. This preserves the discussion and review that happened earlier for
the respective change set.",SC – Submit the changes
Logo Resources of Cocos2d-x,No categories identified.
Contribution Guidelines,No categories identified.
- 2 spaces for indentation rather than tabs,DC – Deal with the code
"2.  Other modifications.  These other modifications need to be
reviewed by someone else or the project lead can decide to accept
the modification.  Typically this is done by creating a branch and a
pull request so that it can be reviewed before accepting it.",SC – Submit the changes
"After all the changes are made, make sure nothing changed in the demo site by running",CF – Contribution flow
Contributing to Accounts,No categories identified.
$ composer install,SC – Submit the changes
- ATX style headings in markdown (e.g. ## H2 heading),DC – Deal with the code
- Translating,No categories identified.
7.  Write the code and unit tests for your bug fix or feature.,CF – Contribution flow
"By submitting a pull request, you represent that you have the right to license your contribution to Apple and the community, and agree by submitting the patch that your contributions are licensed under the Apache 2.0 license.",SC – Submit the changes
Get started,CT – Choose a task
- deps: Updates about dependencies,SC – Submit the changes
Tests can be run against different versions of Rails:,SC – Submit the changes
"We use eslint to lint all JavaScript code and follow rules specified in
@cypress/eslint-plugin-dev plugin.",DC – Deal with the code
- Copy over the Bash-Snippets tool skeleton to the newly created folder,SC – Submit the changes
6.  Ensure it works and all assets are available.,DC – Deal with the code
"Sharing PR's for small changes works great. However, when contributing big features to the framework, it is required to go through the RFC process.",CF – Contribution flow
Visit the issue tracker to find a list of open issues that need attention.,CT – Choose a task
Version/Release Management,No categories identified.
After your pull request is merged,SC – Submit the changes
git commit -m 'information about your feature',SC – Submit the changes
2.  Make sure Create separate module per source set is selected,BW – Build local workspace
"- Python: Follow Django/PEP8, with the exception of using 2 spaces per indent level",DC – Deal with the code
- Follow our Coding Rules.,DC – Deal with the code
Step 6: Rebase,CF – Contribution flow
- Use spaces after the comment markers: // Comment instead of //Comment. A comment must be prefixed with two spaces if it's on the same line with code:,DC – Deal with the code
"If you would like to discuss some details before you start working on a feature
or bug fix, open an issue.",TC – Talk to the community
Weekly design reviews,CF – Contribution flow
"# we're still SSH'ed into Vbox
cd ~/web
rvm current # should be ruby-2.1.2@coderwall
bundle check # should be 'The Gemfile's dependencies are satisfied'
rails s",BW – Build local workspace
3.  Rebase onto upstream,CF – Contribution flow
Please check below the standards and practices that this project adheres to.,No categories identified.
"Once you open a pull request, project maintainers will review your code and respond to your pull request with any feedback they might have. The process at this point is as follows:",SC – Submit the changes
File an Issue,No categories identified.
- find-and-replace - all search and replace functionality.,No categories identified.
Setup Environment,BW – Build local workspace
For information about breaking changes see Breaking Change Rules,No categories identified.
- Easy to compile:,DC – Deal with the code
"Everyone comes in with their own perspective on what a project could/should look like, and encouraging discussion can help expose good ideas sooner.",No categories identified.
"8.  Submit a pull request to the master branch. If you head to the A-Frame repository after running git push from earlier, you should see a pop up to submit a pull request.",CF – Contribution flow
Just to illustrate the git workflow for AngleSharp a little bit more we've added the following graphs.,No categories identified.
- Update the docs if the new functionality is added.,CF – Contribution flow
Want a Feature?,No categories identified.
- Run prettier if you can :),DC – Deal with the code
Pull Requests,No categories identified.
"- If you have introduced a new document, there is a simple template you
should use. It provides you with the top anchor mentioned to link to
(more below), and also with a backlink to the top of the documentation:",No categories identified.
- Possible workaround,No categories identified.
"- There must be at least one person willing and committed to maintain it.
They may but do not have to be the people who wrote the code. Similarly,
they may but do not have to be affiliated with the hardware manufacturer.
In the first instance, code maintenance would mean keeping the port up to
speed by submitting pull requests as Contiki moves forward. In the longer
term, people who maintain a reasonable level of commitment and who demonstrate
that they know what they're doing may be invited to become repo collaborators.",No categories identified.
Short and descriptive example bug report title,No categories identified.
4.  Push your work back up to your fork,CF – Contribution flow
Dependencies,No categories identified.
Contributing,No categories identified.
git push origin --delete my-fix-branch,SC – Submit the changes
Tracking issue,CT – Choose a task
- Fix spacing,SC – Submit the changes
Developer guidelines,No categories identified.
"$ cd Catch2
$ ./scripts/generateSingleHeader.py",SC – Submit the changes
"You generally only need to submit a CLA once, so if you've already submitted one
(even if it was for a different project), you probably don't need to do it
again.",SC – Submit the changes
- Use Debug configuration - debug configuration keeps your local changes separate from the machine installed Chocolatey.,DC – Deal with the code
9.  Include a screencast if relevant - Is your issue about a design or front end feature or bug? The most helpful thing in the world is if we can see what you're talking about. Use LICEcap to quickly and easily record a short screencast (24fps) and save it as an animated gif! Embed it directly into your GitHub issue.,No categories identified.
Contributing,No categories identified.
Tests,SC – Submit the changes
"- Email the patch to the developer list. This is not preferred, but if no bug
is associated with the patch, or you would like a developer review, an email
may be appropriate.",SC – Submit the changes
git push origin --delete my-fix-branch,SC – Submit the changes
G2 uses semantic versioning in release process based on semver.,No categories identified.
"This will start a small Python web server listening on port 8000. Point your
browser to http://localhost:8000, find the file
you edited earlier, and check out your changes!",No categories identified.
"This document covers how to contribute to the Apache Shiro project. These instructions assume you have a GitHub.com account, so if you don't have one you will have to create one. Your proposed code changes will be published to your own fork of the Apache Shiro project and you will submit a Pull Request for your changes to be added.",CF – Contribution flow
*    MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.  See the,No categories identified.
- Delete the remote branch on GitHub either through the GitHub web UI or your local shell as follows:,SC – Submit the changes
"3.  Existing features most likely won't be changed significantly. Adding new
features should be done with the option to opt-in or as alternative keybindings.",DC – Deal with the code
"- Before opening a new issue, look for existing issues to avoid duplication. If the issue does not yet exist, create one.",No categories identified.
1.  Create a new branch,CF – Contribution flow
- Make sure you run the code formatter (make format).,DC – Deal with the code
"Start by forking the dolphinscheduler GitHub repository, make changes in a branch and then send a pull request.",CF – Contribution flow
"The ""Do Nots"" of Contributing",No categories identified.
"After your pull request is merged, you can safely delete your branch and pull the changes
from the main (upstream) repository:",SC – Submit the changes
"- Click on any command in the Command Log where the failure occurred, this will log more information about the error to the JavaScript console.",No categories identified.
You can help us improve it too!,No categories identified.
Documentation,No categories identified.
- State the newest version of the Arduino IDE you have verified the issue with and which operating system you are using.,No categories identified.
Tools,DC – Deal with the code
- Please specify what kind of issue it is.,No categories identified.
Want to show Apache JMeter some love? Help out by contributing!,No categories identified.
"When there is a single implementation, don't introduce an interface. When there is a need for a
second implementation, refactor the code to introduce an interface as needed.
The person making that change in the future will know more (two implementations) than you do now (one implementation)
and they will use that knowledge to make better API choices. Modern IDEs have good support for
such refactoring. There is less IDE support for removing an interface.",DC – Deal with the code
"Android and RoboVM (iOS) do not support many of Java 8's features, such as the packages java.util.function, java.util.stream or forEach in collections. Do not use these in your code.
If you need to use functional interfaces, use the ones in arc.func, which are more or less the same with different naming schemes.",DC – Deal with the code
"- dev-infra: used for dev-infra related changes within the directories /scripts, /tools and /dev-infra",SC – Submit the changes
Guidelines for bug reports:,No categories identified.
"Do not use incompatible Java features (java.util.function, java.awt).",DC – Deal with the code
":heart: Thanks,",No categories identified.
- Please don't add #Regions to the code,DC – Deal with the code
"If a bug, please include the following",No categories identified.
- tracers/ interprets visualizing commands into visualization data.,CF – Contribution flow
- For individuals we have a simple click-through form.,SC – Submit the changes
"When filing an issue, please check existing open, or recently closed, issues to make sure somebody else hasn't already
reported the issue. Please try to include as much information as you can. Details like these are incredibly useful:",No categories identified.
- Set parameter defaults without spaces around the equal sign,DC – Deal with the code
Here I've assumed that the remote is cli11.,SC – Submit the changes
- Please raise the PR against develop branch,SC – Submit the changes
The template that renders the documentation is Web/src/docs/layout.jst. This is a template file that renders the documentation navigation and content as HTML.,No categories identified.
multi-room: Add multi-room feature,No categories identified.
"- Remember that we follow SemVer. If you are changing the behaviour, or the public api, you may need to update the docs.",SC – Submit the changes
- I will list meaningful contributions in the CHANGELOG and special contributions will be listed in the README and/or here.,SC – Submit the changes
"If only a small portion of the code/log is relevant to your issue, you may paste it directly into the post, preferably using Markdown syntax for code block: triple backtick ( ``` ) to open/close a block.
In other cases (multiple files, or long files), please attach them to the post - this greatly improves readability.",No categories identified.
"After that, all your commits will be squashed into the first one and the commit message will be the first one.",SC – Submit the changes
"- cEntity::etXXX for entity types, cMonster::mtXXX for mob types",DC – Deal with the code
"In the release of every stable version, there will be a PM who has the following responsibilities in different stages of the release.",No categories identified.
"In order to accept your pull request, we need you to submit a CLA. You only need to do this once to work on any of Facebook's open source projects.",SC – Submit the changes
Commit Message Format,SC – Submit the changes
"Where a patch set proposes to change the Bitcoin consensus, it must have been
discussed extensively on the mailing list and IRC, be accompanied by a widely
discussed BIP and have a generally widely perceived technical consensus of being
a worthwhile change based on the judgement of the maintainers.",SC – Submit the changes
- git push origin your-branch (origin would be your GitHub repo or your-github-username/choco in this case). You may need to git push origin your-branch --force to get the commits pushed. This is generally acceptable with topic branches not in the mainstream repository.,SC – Submit the changes
"So you've found a bug, and want to help us fix it? Before filing a bug report, please double-check the bug hasn't already been reported. You can do so on our issue tracker. If something hasn't been raised, you can go ahead and create a new issue with the following information:",No categories identified.
Running the tests using rake (with no args) will also check for style issues in the code. Ideally all submissions would pass these checks. If the code style is causing issues (particularly the method or class size) we can work with you to correct it. Don't let it stop you from contributing.,DC – Deal with the code
"// good, alternative spacing style for if statements
if ( Broodwar->canMake(UnitTypes::Terran_Marine, builder) )
reservedMinerals = -UnitTypes::Terran_Marine.mineralPrice();",No categories identified.
Code of Conduct,TC – Talk to the community
4.  browse to this directory,No categories identified.
1.  No --force pushes or modifying the Git history in any way.,CF – Contribution flow
$ tox,SC – Submit the changes
- Only code that's ready for release should be committed to the master branch. All development should be done in dedicated branches.,SC – Submit the changes
- git fetch upstream (upstream would be the mainstream repo or chocolatey/choco in this case),SC – Submit the changes
"This is generally easier to follow, but separate commits are useful if the Pull Request contains
iterations that might be interesting to see side-by-side.",CF – Contribution flow
- docs: Documentation-only changes,SC – Submit the changes
- Did the problem start happening recently (e.g. after updating to a new version of Atom) or was this always a problem?,No categories identified.
Translate the plugin,No categories identified.
Code Guidelines,DC – Deal with the code
"- We love pull requests.
The same here: Please consider our comments within the pull request template.",No categories identified.
"Making changes to the ClosedXML code may change the input or output of the package parts. For example if you add support for a currently unsupported element, you will have to ensure that you read the appropriate package part into the ClosedXML model and also support writing of the package parts to the file.",No categories identified.
Breaking Statements,DC – Deal with the code
Pull requests should be submitted from your cloned repository's master branch to the upstream master branch. Please make sure that you rebase your local branch against the upstream branch before you submit your pull request.,SC – Submit the changes
Running checkstyle,DC – Deal with the code
* add demo for ng-change on `md-chips`,SC – Submit the changes
Contributing via Pull Requests,CF – Contribution flow
rspec,SC – Submit the changes
3.  Commit changes to your own branch,CF – Contribution flow
"The design of our automated test suite is to get the testing framework out of the way and make it easy to swap out should it ever need to be (the former is the important goal). We test behaviors of the system, which doesn't simply mean ensuring code coverage. It means we want to see how the system behaves under certain behaviors. As you may see from looking over the tests, we have an interesting way of setting up our specs. We recommend importing the ReSharper templates in docs\resharper_templates. This will make adding specs and new spec files quite a bit easier.",SC – Submit the changes
4.  If you run into an issue with build/tests/etc -- please report it on GitHub.,BW – Build local workspace
"# Clone your fork of the repo into the current directory
git clone https://github.com/<your-username>/<repo-name>
# Navigate to the newly cloned directory
cd <repo-name>
# Assign the original repo to a remote called ""upstream""
git remote add upstream https://github.com/<upstream-owner>/<repo-name>",SC – Submit the changes
- Code of Conduct,No categories identified.
- Provide a title in the format of <Error> when <Task>,No categories identified.
"yarn config set script-shell ""C:\\Program Files\\git\\bin\\bash.exe""",BW – Build local workspace
For further information please consult the pytest usage docs.,SC – Submit the changes
- Delete the local branch:,SC – Submit the changes
"We greatly appreciate any and all testing for the project. When testing, please
be sure you do the following:",SC – Submit the changes
"The list above shows all bugs that are marked 'Beginner' and are open in the
currently supported Tomcat versions (7, 8.5, and 9).",CT – Choose a task
"For information about setting up a development environment, building from source, etc.,
see the Developer Guide",BW – Build local workspace
Code Review Process,SC – Submit the changes
Updating reused components,DC – Deal with the code
3.  Edit test/specs/components/dictionaries/[dictID]/request.mock.ts. It will intercept requests and return the downloaded fixtures.,DC – Deal with the code
Squash your Commits,SC – Submit the changes
Other General Information,No categories identified.
Contributors,No categories identified.
- Making sure issues that are fixed have the appropriate milestone set. There may be pull requests fixing the bug on the different product channels and sometimes the issues are forgotten about (and aren't updated),No categories identified.
Tip: To run a specific test method append its name in the form of :TestClassName.test_method_name to tests/test.py.,SC – Submit the changes
- Please include tests and watch out for reek and roodi; i.e. keep your code clean,SC – Submit the changes
"3.  For extra points, cross-post and answer the question on Stack Overflow after redirecting!",CF – Contribution flow
"- Before creating an issue please read the notes below and include as many details as
possible with your report. You can create an issue here.
If you can, please include:",No categories identified.
[optional body],SC – Submit the changes
"We want to fix all the issues as soon as possible, but before fixing a bug we need to reproduce and confirm it.
In order to reproduce bugs we might ask you to provide a minimal reproduction scenario in a fork of this project on
GitHub. Having a live, reproducible scenario gives us wealth of important information without going back & forth to you
with additional questions like:",No categories identified.
npm run lint,DC – Deal with the code
Who decides what?,No categories identified.
How do I contribute?,No categories identified.
"If you want to hack and improve components locally, you can follow these steps:",BW – Build local workspace
"$ git clone https://github.com/aws/aws-cdk.git
$ cd aws-cdk",BW – Build local workspace
"Next, the administrator is responsible for merging to complete the pull request.",SC – Submit the changes
- For public API changes to cmdlets:,SC – Submit the changes
- General how to's and blog posts,No categories identified.
Must be one of the following:,SC – Submit the changes
6.  Push your topic branch up to your fork:,SC – Submit the changes
Reporting an Issue/Bug?,No categories identified.
Are you a first-timer in contributing to open source? These guidelines from GitHub might help!,CF – Contribution flow
Defining Component Prop Types,DC – Deal with the code
Issues created without steps to repeat are likely to be closed.  E-mail requests for support will go un-answered; All support needs to be public so that other people can read the problems and solutions.,No categories identified.
"To save your and our time, we will be systematically closing all the issues that are requests for general support and redirecting people to StackOverflow.",No categories identified.
"Instances of abusive, harassing, or otherwise unacceptable behavior may be
reported by contacting the project maintainer at Sergio Cambra. All
complaints will be reviewed and investigated and will result in a response that
is deemed necessary and appropriate to the circumstances. The project team is
obligated to maintain confidentiality with regard to the reporter of an incident.
Further details of specific enforcement policies may be posted separately.",No categories identified.
"- Mention very precisely what went wrong. ""X is broken"" is not a good bug
report. What did you expect to happen? What happened instead? Describe the
exact steps a maintainer has to take to make the problem occur. We can not
fix something that we can not observe.",No categories identified.
"Mentally modeling the end result of overrides for any given flavor is difficult. Similarly,
programmatically selecting the correct files for each flavor build is also difficult. In order to
effectively work with this project structure, we introduce the concept of staging.",DC – Deal with the code
"This project is open source under the MIT license, which means you have full access to the source code and can modify it to fit your own needs.",SC – Submit the changes
"Tests are written using BATS. Each lib has a lib-name.bats file in tests-for-this-repo.
Asserts are provided by bats-assert-1. Asserts provide useful debugging output when the assertion fails, eg expected x got y.",SC – Submit the changes
2.  The issue may already be resolved. Always try to reproduce the issue in the latest stable release.,No categories identified.
"Ongoing development happens in the master branch for Catch2 v2, and in
dev-v3 for the next major version, v3.",DC – Deal with the code
- mining for changes to the mining code,SC – Submit the changes
"- Core - This contains the building blocks of any MVVM solution such PropertyChangedBase, Screen & EventAggregator. It's a Portable Class Library designed to work on as many platforms as possible. However due to some limitations we create the Core assembly for Silverlight 5 and .NET 4.0 separately although they share code using linked files and compilation symbols.",DC – Deal with the code
Install all dependencies,CF – Contribution flow
Run yarn build to start a full build.,BW – Build local workspace
"- Functions: CamelCase starting with uppercase letter, e.g., GetChunk",DC – Deal with the code
"We ask that before significant effort is put into code changes, that we have agreement on taking the change before time is invested in code changes.",CF – Contribution flow
- Add tests! Your patch won't be accepted if it doesn't have tests.,SC – Submit the changes
- Explain that you are closing the issue as resolved and that they can comment if they are still having the issue and we will consider reopening it.,No categories identified.
Making Trivial Changes,No categories identified.
