Paragraph,Label
Publishing a New Release,SC – Submit the changes
2.  Make sure you're in the master branch with all the latest changes: git pull.,SC – Submit the changes
- Test your changes.,SC – Submit the changes
We also release our software as gems to Rubygems but we strongly recommend using Chef packages since they are the only combination of native libraries & gems required by Chef that we test thoroughly.,No categories identified.
"The footer should contain any information about Breaking Changes and is also the place to
reference GitHub issues that this commit Closes.",SC – Submit the changes
"- QA: file bug reports, the more details you can give the better (e.g. screenshots with the console open)",No categories identified.
"When you are happy with your changes and you are ready to contribute them, you will create a Pull Request on GitHub to do so.  This is done by pushing your local changes to your forked repository (default remote name is origin) and then initiating a pull request on GitHub.",SC – Submit the changes
Pull Request Submission Guidelines,No categories identified.
- Documentation,CT – Choose a task
2.  Install yarn: npm install -g yarn.,BW – Build local workspace
- settings-view - the settings UI pane item.,No categories identified.
Before Starting,No categories identified.
"It's the duty of the maintainer to ensure that all submissions to the project are of sufficient
quality to benefit the project. Many developers have different skillsets, strengths, and weaknesses. Respect the maintainer's decision, and do not be upset or abusive if your submission is not used.",No categories identified.
Naming,DC – Deal with the code
Merging a PR (maintainers only),No categories identified.
- The body:,SC – Submit the changes
"Then, you'll need to install bundler and the gem dependencies:",BW – Build local workspace
"Our pre-commit hooks verify that your commit message matches this format when committing. If you are working on some in progress commits and don't care about the pre-commit hook, pass the --no-verify (-n) flag to git when committing (e.g. git commit -n -m ""wip"").",SC – Submit the changes
"You can find committers, PPMCs and governance model of Weex from confluence.",No categories identified.
Required knowledge: Travis-CI,SC – Submit the changes
Thanks for helping us to make KSQL even better!,No categories identified.
"- Platform - For each platform Caliburn.Micro runs on we have a platform assembly, this contains the code that makes direct use of the appropriate UI stack and any code that could not be made portable. Most of the code is shared between the various platform projects using linked files and compilation symbols.",DC – Deal with the code
"- The code should be secure, and will be reviewed from a security point of view as well.",DC – Deal with the code
Submission Guidelines,No categories identified.
"- If you have a question about using ngx-admin, please ask on the StackOverflow.",No categories identified.
Must be one of the following:,SC – Submit the changes
1.  Action taken (what you did),No categories identified.
- don't capitalize first letter,SC – Submit the changes
"This project has quite a backlog of suggestions! If you're new to the project,
maybe you'd like to open a pull request to address one of them:",No categories identified.
"+2pRVtn2xNJ9rBipGG86ZU88vurYjgPZrXaex3M1QGD/8+9Wlp/TR7YUzjiZbtwc
6mpG4SUlwZheX9RbTRdjnLr7Qy+CddOWvGxebgk23/U90KrDyHDHig==
=2M/2",No categories identified.
Running active record tests,BW – Build local workspace
Now force push to update your PR:,SC – Submit the changes
- react-dnd - react-beautiful-dnd draws a fair amount of inspiration from react-dnd. Something to keep in mind is that react-dnd is designed to provide a set of drag and drop primitives which is a different set of goals to this project.,DC – Deal with the code
"- If someone else is already working on the suggestion, then hopefully you can collaborate with them.",No categories identified.
"Anyway, these are just guidelines, not rules, use your best judgment and feel free to propose changes to this document in a pull request.",No categories identified.
*,No categories identified.
"Just as in the subject, use the imperative, present tense: ""change"" not ""changed"" nor ""changes"".
The body should include the motivation for the change and contrast this with previous behavior.",SC – Submit the changes
List of all subjects (first lines in commit message) since last release:,SC – Submit the changes
"Some platforms - such as IOS - forbid dynamic code generation. This prevents Just-in-Time compilation (JIT) from being used. In those cases, one can use Mono's Ahead-of-Time compilation (AOT). This results on a precompiled assembly that does not rely on JIT. There are some limitations however, most of them related to usage of generics.",BW – Build local workspace
"For the summary itself, follow this style:",SC – Submit the changes
"CRIU tests are run for each series sent to the mailing list. If you get a message from our patchwork that patches failed to pass the tests, you have to investigate what is wrong.",SC – Submit the changes
Do not submit issues for missing SolutionVersion.cs. Please see Compiling / Building Source.,No categories identified.
"Whether you integrate it into your editor or not, a pre-commit hook will run
Prettier before a commit by default.",DC – Deal with the code
"This software is made available under the MIT License.
For the text of the license, see the LICENSE file.",SC – Submit the changes
yarn build:deps,DC – Deal with the code
"- test: adding or updating tests, eg add integration tests using detox.",SC – Submit the changes
"To package a specific module, say the @aws-cdk/aws-ec2 module:",SC – Submit the changes
"Often, your problem may have a lot in common with other similar problems. If we understand your use case, we can compare it to other use cases and sometimes find a more powerful or more general solution which solves several problems at once. Understanding the root issue can let us merge and contextualize things. Sometimes there's already a way to solve your problem that might just not be obvious.",No categories identified.
"Feel free to create a pull request
if you think you can contribute to the project. You will be listed as a
contributor, agree to
this document, and the
LICENSE.",SC – Submit the changes
- Re-run the test suite to ensure tests are still passing.,SC – Submit the changes
- Y Axis 2,No categories identified.
- If you never done it before read this: https://help.github.com/articles/using-pull-requests,SC – Submit the changes
"3.  If you've changed APIs, update the documentation.",SC – Submit the changes
- Issue Reporting Guidelines,No categories identified.
Contributing,No categories identified.
"- Configure a results backend, here's a local FileSystemCache example,
not recommended for production,
but perfect for testing (stores cache in /tmp)",No categories identified.
...but check for existing issues first!,No categories identified.
Pull request????,No categories identified.
git push origin --delete my-new-branch-123,SC – Submit the changes
$ git checkout -b <your-feature>,BW – Build local workspace
"For more information, go to How to Write a Git Commit Message.",SC – Submit the changes
"Unless you ran in to a heisenbug,
it should be possible to reproduce the
bug in a testing environment. To that end run
$HOME/.homesick/repos/homeshick/test/interactive and reproduce the bug.  This
script drops you into a new shell where $HOME is set to an (almost) empty
temporary folder. If you cannot reproduce the bug there, the error is likely
with your setup and not homeshick. Otherwise attach the commands you executed
in that environment to the issue.",No categories identified.
3.  Invoke msbuild eng\mgmt.proj /p:scope=Compute,No categories identified.
3.  Create a new branch and work on it,No categories identified.
git branch -D my-fix-branch,SC – Submit the changes
"Our continuous integration (CI) testing runs a number of checks for each pull request on GitHub Actions. You can run most of these tests locally, which is something you should do before opening a PR to help speed up the review process and make it easier for us.",SC – Submit the changes
- Please do not use the issue tracker for personal support requests (use Slack).,No categories identified.
"We make use of EditorConfig to communicate indentation, line endings and
other text editing default. We encourage you to install the relevant plugin in
your text editor of choice to avoid having to fix any issues during the review
process.",SC – Submit the changes
- Compiler assumptions (doc/design/compiler-assumptions.md),No categories identified.
"- All submissions, including submissions by project members, require review.",SC – Submit the changes
Debugging,DC – Deal with the code
Contribute documentation,No categories identified.
Getting started with the source,BW – Build local workspace
- Add new features to the code,CT – Choose a task
(The last part is automatically performed by our CI system.),SC – Submit the changes
"- It is required that you clearly describe the steps necessary to reproduce the issue you are running into. Although we would love to help our users as much as possible, diagnosing issues without clear reproduction steps is extremely time-consuming and simply not sustainable.",No categories identified.
"Most of the development process is described in confluence, which services the contributors of Weex and is transparent to all users.",No categories identified.
"(4) Finally, commit some code and open a pull request. Code & commits should abide by the following rules:",No categories identified.
"8.  Finally, the Amplify JS team will review your PR. Add reviewers based on the core member who is tracking the issue with you or code owners.
In the meantime, address any automated check that fail (such as linting, unit tests, etc. in CI)",SC – Submit the changes
Update build tools,No categories identified.
Describe your changes,SC – Submit the changes
"1.  If it is an important change, we recommend you to discuss it on the mailing-list
before starting implementation. This ensure that the development is aligned with other developments already started and will be efficiently integrated.",No categories identified.
"Adding a new flavor name like mimic,centos,7 is enough to create a new mimic
Ceph release.",No categories identified.
- Should not send data to any 3rd party service except for the purposes of installing dependencies.,No categories identified.
- Documentation,No categories identified.
- Coding style,No categories identified.
- Make the required updates.,No categories identified.
} // namespace cinder,No categories identified.
If your prop-mapping functions don't depend on OwnProps it is safe to leave that out of the type annotation.,DC – Deal with the code
If you update the model annotation processor you may find the update_processor_test_resources.rb script very useful for updating the existing tests with your changes.,SC – Submit the changes
You can now run php artisan db:seed and you will have a substantial amount of views for each post.,BW – Build local workspace
- Update the checksums if external files have been added or modified.,SC – Submit the changes
git pull --ff upstream master,SC – Submit the changes
We like to encourage you to contribute to the Chai.js repository. This should be as easy as possible for you but there are a few things to consider when contributing. The following guidelines for contribution should be followed if you want to submit a pull request or open an issue.,No categories identified.
"If you need to provide personal / sensitive data to solve the issue (like the Wallet Id), do not use Github Issues.
We will provide a better channel (like an BitPay email address) so you can send the information. If possible, please
encrypt your emails using GnuPG.",No categories identified.
"App Metrics documentation is built using Hugo, you can find the github repo here and create a new pull request on the main branch.",No categories identified.
"1.  In a new branch, create a new Lerna package:",BW – Build local workspace
- paulmillr/loggy is a lightweight logging library.,No categories identified.
"Before your pull request can be merged, the following conditions must hold:",SC – Submit the changes
"Before filing an issue, please check that it doesn't already exist. If you're not sure if you should file an issue, you can open up a Q&A forum question. We also have a uservoice feedback site which we can track your feature requests through.",No categories identified.
4.  You can now submit this new branch and create or replace your existing pull request.,No categories identified.
"Generally speaking, if you make any changes which violate an awslint rule, build
will fail with appropriate messages. All rules are documented and explained in
the guidelines.",DC – Deal with the code
- The website.,CT – Choose a task
Your pull request is much more likely to be accepted if:,SC – Submit the changes
"- DO keep the discussions focused. When a new or related topic comes up it's often better to
create new issue than to side track the discussion.",TC – Talk to the community
JavaScript / Client,No categories identified.
"# source support and assert libraries
. ""${BASH_LIB_DIR}/test-utils/bats-support/load.bash""
. ""${BASH_LIB_DIR}/test-utils/bats-assert-1/load.bash""",No categories identified.
* **module-name:** Yet another breaking change,No categories identified.
Body,SC – Submit the changes
"Now, push to master (in the future we will release from a release branch, but in the meantime we release directly from master):",No categories identified.
Release are performed in interactive mode using release-it.,SC – Submit the changes
Contributing,No categories identified.
Forking the Azure/azure-powershell repository,No categories identified.
"Meshroom relies on a friendly and community-driven effort to create an open source photogrammetry solution.
In order to foster a friendly atmosphere where technical collaboration can flourish,
we recommend you to read the code of conduct.",No categories identified.
- Images,No categories identified.
"To understand what is actually going in under the hood of Linaria we recommend to first read the top-level How it works.
Then you can run Linaria in debug mode for a specific file from you project and see step-by-step logs informing what is happening.",DC – Deal with the code
"- Check if the issue is reproducible with the latest stable version of Rax. If you are using a pre-release, please indicate the specific version you are using.",No categories identified.
"If you are interested in adding a large mechanic/feature or changing large amounts of code, first contact me (Anuken) via Discord (preferred method) or via e-mail (anukendev@gmail.com).
For most changes, this should not be necessary. I just want to know if you're doing something big so I can offer advice and/or make sure you're not wasting your time on it.",No categories identified.
"This project and everyone participating in it is governed by the principle of ""Be excellent to each other"". That's it. TL;DR: Don't be a jerk.",TC – Talk to the community
"- All files must contain the standard file-level docblock, including the copyright, license and link tags.",SC – Submit the changes
Things to take into consideration when submitting a pull request:,SC – Submit the changes
For lambda expressions we have hanging brackets,DC – Deal with the code
Commit squashing,SC – Submit the changes
"- If you are not running the latest version (please check), and you cannot update it,
please specify in your report why you can't update to the latest version.",No categories identified.
"Again, this makes review much easier.",SC – Submit the changes
- Test your changes with our supported browsers and screen readers.,SC – Submit the changes
"- Before submitting, make sure the tests are still passing, by running npm test.",SC – Submit the changes
git remote -v,BW – Build local workspace
"Hint: you can use git commit -s to add Signed-off-by line to your
commit message. To append such line to a commit you already made, use
git commit --amend -s.",No categories identified.
"We use flake8 to enforce our Python coding
style. Before sending us a pull request, navigate to the project root
and run",DC – Deal with the code
1.  Regenerate the single header distribution,SC – Submit the changes
- Build and improve github page,No categories identified.
- git push origin your-branch (origin would be your GitHub repo or your-github-username/choco in this case). You may need to git push origin your-branch --force to get the commits pushed. This is generally acceptable with topic branches not in the mainstream repository.,SC – Submit the changes
"2.  Check that the issue has been staged to ""queue"" or ask @conan-io/barbarians to do it. This helps in terms of validation and discussion of
possible implementation of the feature/fix.",No categories identified.
See our Contributor Guidelines for more information on following the project's conventions.,DC – Deal with the code
Source file,No categories identified.
Requirements for reused Ruby gems,DC – Deal with the code
Type,SC – Submit the changes
- Updating documentation,No categories identified.
Code style,DC – Deal with the code
We use Travis to run tests for the demo scenario.,SC – Submit the changes
"2.  Use node.tryGetContext(cxapi.ENABLE_XXX) to check if this feature is enabled
in your code. If it is not defined, revert to the legacy behavior.",No categories identified.
- Check the pull requests tab to ensure that the bug doesn't have a fix in progress.,No categories identified.
"We reserve the right to publish emergency patches within 24 hours after a release if a tag that does not respect
this pattern would have been released despite our vigilance. In this very rare and particular case, we would mark the
tag as broken on GitHub and backward compatibility would be based on previous stable tag.",No categories identified.
3.  Clear all the existing logcats,No categories identified.
Avoid bloated code and unnecessary getters/setters.,DC – Deal with the code
- Documents are located in /aspnetboilerplate/doc folder.,No categories identified.
You can file new issues by providing the above information here.,No categories identified.
- Include screenshots or screencasts whenever possible,No categories identified.
"Before you move on, please make sure what your issue and/or pull request is, a simple bug fix or an architecture change.",No categories identified.
Writing a New Module,CT – Choose a task
That's it! Thank you for your contribution!,SC – Submit the changes
"If you don't have PHP 5.4+, you can test just the Ruby API by editing spec/spec_helper.rb and removing :php
from the backend list:",SC – Submit the changes
"yarn typescript
yarn lint",No categories identified.
- Want to paste some code or output? Put ``` on a line above and below your code/output. See GFM's Fenced Code Blocks for details.,No categories identified.
- chore: Other changes that don't modify src or test files,SC – Submit the changes
The goal of bootstrap_form is to support all versions of Rails currently supported for bug fixes and security issues. We do not test against versions supported for severe security issues. We test against the minimum version of Ruby required for those versions of Rails.,DC – Deal with the code
- test: Adding missing tests or correcting existing tests,SC – Submit the changes
- fixtures,No categories identified.
- Organizing meetups,No categories identified.
- Using welcoming and inclusive language.,TC – Talk to the community
- Announce and discuss your plans in GitHub before starting work.,No categories identified.
The format of a class should be,DC – Deal with the code
"Ruby 2.4.0 has deprecated the Fixnum and Bignum classes, but they are used
by some gems we depend on.
Because we now use Ruby 2.4.0, there may be several warnings of this form:",No categories identified.
2.  This is the second step,No categories identified.
- Signing the CLA,No categories identified.
"* to you under the Apache License, Version 2.0 (the",No categories identified.
Please read and follow our Code of Conduct.,TC – Talk to the community
"- No merge-commits
If you have commits that looks like this ""Merge branch 'my-branch' into dev"" or ""Merge branch 'dev' of https://github.com/Azure/DotNetty into dev"" you're probaly using merge instead of rebase locally. See below on Handling updates from upstream.",SC – Submit the changes
"We have a code of conduct you can find here and every
contributor is expected to obey the rules therein. Any issues or PRs that don't
abide by the code of conduct may be closed.",TC – Talk to the community
"When working on a file, always enforce coding standards for the whole file. This increases the consistency of the code with every contribution! If you don't, we may reject your pull requests.",DC – Deal with the code
- Reviewing,No categories identified.
"Contributing to Ansible-NAS is easy! Add your functionality, then raise a pull request on GitHub. A few things to bear in mind:",No categories identified.
- mocha,No categories identified.
"3.  Now, step into your local clone of repository:",BW – Build local workspace
2.  Fork the repository on GitHub.,No categories identified.
"- Even though Slack is a chat service, sometimes it takes several hours for community members to respond — please be patient!",TC – Talk to the community
Code of Conduct,TC – Talk to the community
"- When documenting APIs and/or source code, don't make assumptions or make
implications about race, gender, religion, political orientation or anything
else that isn't relevant to the project.",DC – Deal with the code
"To contribute, fork the library and install gulp and dependencies. You need node; use nvm or nenv to install it.",BW – Build local workspace
> This will be the intro. The detail descriptions...,DC – Deal with the code
- Write code to address an issue. We have some issues labeled as first-timers-only that are good place to start. Please thoroughly read our writing code guide.,CT – Choose a task
git push my-fork --delete my-fix-branch,SC – Submit the changes
Code of Conduct,TC – Talk to the community
- Question or Problem?,No categories identified.
"When providing code patches then please include the Camel JIRA ticket number in the commit messages.
We favor using the syntax:",SC – Submit the changes
bundle exec rake,No categories identified.
Short answer: with pull requests to the gunicorn repository.,SC – Submit the changes
"- After you made your translations, ensure that you added your locale key in alphabetical order at line in the tests/TestCase.php file for the tests.",DC – Deal with the code
Signing the CLA,SC – Submit the changes
- CMB2 Snippet Library,No categories identified.
- Juli,No categories identified.
The published browser example is only updated when releasing a new version.,No categories identified.
- Identify if an argument is optional with (optional) on the same line as the tag.,DC – Deal with the code
"IMPORTANT: By submitting a patch, you agree to allow the project owner to
license your work under the same license as that used by the project.",SC – Submit the changes
"- Code submitted must have basic unit test coverage, and have all the unit tests pass. Testing is the full responsibility of the service team",SC – Submit the changes
6.  Create a changeset by running yarn changeset. More info.,SC – Submit the changes
"If you want to contribute to linux-insides, please follow these simple rules:",No categories identified.
"Special tooling has been built to collect all source files with appropriate overrides into a unique
staging directory for each flavor (each staging directory is also specified by a target
architecture). From a staging directory, containers can be built directly from the
<staging>/daemon-base/ and <staging>/daemon/ image directories. Additionally, developers can
inspect a staging directory's files to view exactly what will be (or has been) built into the
container images. Additionally, in order to maintain a core source base that is as reusable as
possible for all flavors, staging also supports a very basic form of templating. Some tooling has
been developed to make working with staging as easy as possible.",DC – Deal with the code
"Unless a block of code is very large or used in more than 1-2 places, don't split it up into a separate method. Making unnecessary methods only creates confusion, and may slightly decrease performance.",DC – Deal with the code
1.  Fork the repo.,No categories identified.
Scope,SC – Submit the changes
npm run watch,BW – Build local workspace
Testing,SC – Submit the changes
"By default, top level tasks will execute for all packages. However, most scripts can be provided one or more scopes. Providing a scope will execute tasks within the provided packages. Scope values are based on package names and not the directory structure.",BW – Build local workspace
1.  Update the JavaScript dependencies by running ./update-js.sh (always check if it works in a browser),No categories identified.
Before you submit your Pull Request (PR) consider the following guidelines:,SC – Submit the changes
The format of a class should be,DC – Deal with the code
"We welcome any type of contribution, not only code. Like for example:",No categories identified.
Reporting Bugs/Feature Requests,No categories identified.
- grunt build run webpack and bundle the source,SC – Submit the changes
"You will now have a fully functioning local build of this library ready to be used. Leave the start script running, and continue with a new Terminal/shell window.",BW – Build local workspace
Java & Android,DC – Deal with the code
"- style: Changes that do not affect the meaning of the code (white-space, formatting, missing semi-colons, etc)",SC – Submit the changes
- Add an upstream remote.,No categories identified.
- Fix Bugs,No categories identified.
- Watch the prime-core and prime-ui packages for changes and recompile: yarn start,BW – Build local workspace
Contributing Guidelines,No categories identified.
- there are thousands of people willing to help on StackOverflow,No categories identified.
- Use slice() to copy an array,DC – Deal with the code
- Use Markdown to format your issue in a fashionable way (easier to read): Familiarize yourself,No categories identified.
- Becoming a committer,No categories identified.
* @dataProvider provider,SC – Submit the changes
npm run docs:prepare,BW – Build local workspace
Build the project (without testing).,BW – Build local workspace
"We also welcome financial contributions in full transparency on our open collective.
Anyone can file an expense. If the expense makes sense for the development of the community, it will be ""merged"" in the ledger of our open collective by the core contributors and the person who filed the expense will be reimbursed.",No categories identified.
#endregion,No categories identified.
Contributing Guide,No categories identified.
"- If your change affects session or preferences, did you include steps to test? You may also consider manually testing an upgrade.",SC – Submit the changes
"When including packages in your examples (even the package you're writing the
examples for), use the full package name (e.g. import s3 = require('@aws-cdk/aws-s3);). The example will be compiled in an environment
where all CDK packages are available using their public names. In this way,
it's also possible to import packages that are not in the dependency set of
the current package.",No categories identified.
- APP_PRIVATE_KEY - the secret certificate provided by GitHub during app registration,BW – Build local workspace
"- An issue with Documentation (typo, incorrect code example)",No categories identified.
Code Style,DC – Deal with the code
"We both value and encourage the community to provide feedback about using ArrayFire and the issues they are facing.
The more detailed the information, the easier it is for the developers to resolve the issue.",No categories identified.
- Related Issues - has a similar issue been reported before?,No categories identified.
git checkout -b 325-add-japanese-translations,No categories identified.
"Consequence: A temporary ban from any sort of interaction or public communication with the community for a specified period of time. No public or private interaction with the people involved, including unsolicited interaction with those enforcing the Code of Conduct, is allowed during this period. Violating these terms may lead to a permanent ban.",TC – Talk to the community
"- You create, or update, a fork of chocolatey/chocolateygui under your GitHub account.",BW – Build local workspace
"Triaging issues is a great way to help the project. This can include reproducing bug reports or asking for additional information, such as version numbers or reproduction instructions. If you would like to start triaging issues, one easy way to get started is to subscribe to backup on CodeTriage.",No categories identified.
Submitting Changes,SC – Submit the changes
"You may also/instead be interested in contributing to an
astropy affiliated package.
Affiliated packages are astronomy-related software packages that are not a part
of the astropy core package, but build on it for more specialized applications
and follow the Astropy guidelines for reuse, interoperability, and interfacing.
Each affiliated package has its own developers/maintainers and its own specific
guidelines for contributions, so be sure to read their docs.",No categories identified.
- Submit your code as a PR with the appropriate DCO sign-off.,No categories identified.
"After having ensured the test suite can access both database servers just create a new database on each that will be
used exclusively by Bookshelf.js:",BW – Build local workspace
Source shared by all Ceph releases - ceph-releases/ALL/,No categories identified.
- npm run create-package [name] This runs a script that automates a couple of parts of creating a new package.,BW – Build local workspace
- Why is what you are suggesting better than what's already there?,No categories identified.
- Blackbox Integration Testing / End to End Testing - This is where you are testing inputs and outputs of the system.,No categories identified.
"1.  Obtain a fresh clone from ""master"".",BW – Build local workspace
- Revert Guidelines,No categories identified.
"Contributions to Foundation are welcome! This project follows the contribution guidelines for the Swift project. If you are interested in contributing, please consult with our status page to see what work remains to be done. A few additional details are outlined below.",No categories identified.
"- When overriding a virtual method, avoid repeating virtual and always use override or final",DC – Deal with the code
"Each commit message consists of a header, a body and a footer.  The header has a special
format that includes a type, a scope and a subject:",SC – Submit the changes
"- This documentation is generated by annotating the code with
JSDoc comments.
Example",No categories identified.
- TLDR;,No categories identified.
1.  Press the fork button:,No categories identified.
Modifying the code,BW – Build local workspace
- open one terminal and run inside compodoc folder : npm run start,DC – Deal with the code
fix(material/button): unable to disable button through binding,SC – Submit the changes
Body,SC – Submit the changes
"- Reproduce the Error - provide a live example (using Plunker or
JSFiddle) or an unambiguous set of steps.",No categories identified.
"Apache Ignite Community values any type of contributions from CoPDoC. Community member can contibute to any areas from (Co)mmunity, (P)roject, (Do)cumentation, and (C)ode.",No categories identified.
* Your base framework: .Net Framework or .Net Core.,No categories identified.
$ ./setup.py lint --fix,DC – Deal with the code
"If you want to propose code change, either introducing a new feature or improving an existing one, please first discuss this with asciinema team. You can simply open a separate issue for a discussion or join #asciinema IRC channel on freenode.",No categories identified.
"If you have an urgent problem you can also try CodersClan, which has a community of Capistrano experts dedicated to solve code problems for bounties.",No categories identified.
"You can then translate the strings gathered in files located under
superset/translation, where there's one per language. You can use Poedit
to translate the po file more conveniently.
There are some tutorials in the wiki.",No categories identified.
Things to keep in mind,SC – Submit the changes
Contributing new samples,No categories identified.
"This alias is particularly useful when you're working on a specific component
and want to avoid running the command for all components.",DC – Deal with the code
"It's convenient to link @cubejs-backend/server-core into your project for manual tests of changes of backend code.
Cube.js uses yarn as package manager instead of npm.
In order to link @cubejs-backend/server-core:",BW – Build local workspace
- Spaces delimited with underscores,No categories identified.
Make a Pull Request,SC – Submit the changes
"We're not taking on many new gateways at the moment. The team maintaining ActiveMerchant is small and with the limited resources available, we generally prefer not to support a gateway than to support a gateway poorly.",No categories identified.
"First, thank you for considering contributing to react-native-router-flux! It's people like you that make the open source community such a great community! ?",No categories identified.
? Thank you for taking the time to contribute to the Boden Framework! ?,No categories identified.
"If you make public API changes or additions, the eng\scripts\Export-API.ps1 script has to be run to update public API listings. This generates a file in the library's directory similar to the example found in sdk\template\Azure.Template\api\Azure.Template.netstandard2.0.cs.",No categories identified.
"$ cd debug-build
$ ctest -j 4 --output-on-failure -C Debug",SC – Submit the changes
Pull requests are always welcome,No categories identified.
- Encourages new contributions.,No categories identified.
"- If a bug is not fully fixed after its issue is closed, open a new issue instead of re-opening the existing one (unless the code has been reverted).",No categories identified.
"- > [Introduced](link-to-issue-or-PR) in Catch X.Y.Z - this
placeholder is usually used after a section heading",No categories identified.
"When it comes to open source, there are different ways you can contribute, all
of which are valuable. Here's few guidelines that should help you as you prepare
your contribution.",No categories identified.
"- A link to the model itself.  Please do not check your model into the GitHub repository, but instead upload it in the
PR conversation or provide a link to it at an external location.",No categories identified.
Testing,SC – Submit the changes
"Trivial pull requests or pull requests that refactor the code with no clear
benefits may be immediately closed by the maintainers to reduce unnecessary
workload on reviewing.",No categories identified.
- Commits follow the Angular commit convention,SC – Submit the changes
"- brunch/init-skeleton helps you create new Brunch apps.
It uses the list of skeletons from brunch/skeletons",No categories identified.
"You can fork the GitHub repository using the Fork button at
https://github.com/aseprite/aseprite.",SC – Submit the changes
4.  Add failing tests for the change you want to make. Tests are crucial and should be taken from W3C (or other specification).,No categories identified.
##The actual contribution,No categories identified.
We use a translation tool called Crowdin to help manage our localization efforts across many different languages.,No categories identified.
"This document is a companion to help you approach contributing. If it does not
do so, please let us know how we can improve it!",No categories identified.
"We use GitHub issues to keep track of all issues and pull requests. Before opening an issue (which asks a question or reports a bug), please use GitHub search to look for existing issues (both open and closed) that may be similar.",No categories identified.
Reporting a Security Issue,No categories identified.
Contributing,No categories identified.
Design Decisions,DC – Deal with the code
3.  Create a new branch,SC – Submit the changes
Further reading,SC – Submit the changes
"- Use the present tense (""Add feature"" not ""Added feature"")",SC – Submit the changes
- You can add this variable a few ways:,BW – Build local workspace
"For the first time in Doris community, you can:",TC – Talk to the community
5.  Commit your changes (make sure your commit message concise),SC – Submit the changes
- [ ] Add @babel/syntax-new-syntax to package.json,No categories identified.
5.  Test and test again your code.,SC – Submit the changes
Feature Requests,No categories identified.
"If you have any questions about how to contribute, either create a GH issue or ask your question in the #ksql channel in our public Confluent Community Slack (account registration is free and self-service).",TC – Talk to the community
"Examples of all packages are extracted and compiled as part of the packaging
step. If you are working on getting rid of example compilation errors of a
single package, you can run scripts/compile-samples on the package by itself.",No categories identified.
